ranking,iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,urai_penalty,DIMENSIONS SCORES,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,PILLAR SCORES,__EMPTY_4,__EMPTY_5
,,,,,,,,,,,,Inclusion and Diversity (0-100),Ethics and Sustainability (0-100),Labour and Skills (0-100),Trust and Safety (0-100),AI Use in Public Service (0-100),AI Policy (0-100),CSO Engagement (0-100),Enabling Conditions (0-100)
126,MMR,Myanmar,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,5997.47,11.71,12.2,0.96,9.15,8.6,17.52,15.93,9.79,1.82,3.52,35.85
127,TKM,Turkmenistan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Upper middle income,21213.09,11.31,11.31,1,18.43,2.86,18.46,9.48,7.32,1.21,3.08,34.26
128,COD,Democratic Republic of the Congo,Africa,Central Africa,Developing,Sub-Saharan Africa ,Low income,1821.05,11.21,11.21,1,5.01,17.09,8.69,13.09,12.18,0,1.76,36.78
129,CAF,Central African Republic,Africa,Central Africa,Developing,Sub-Saharan Africa ,Low income,1263.1,9.44,9.44,1,3.21,18.31,10.61,6.71,8.35,0.61,8.21,27.51
130,HTI,Haiti,Caribbean,,Developing,Latin America & Caribbean ,Lower middle income,3193.67,8.96,8.96,1,10.44,4.96,10.43,8.34,10.61,1.21,0,27.43
131,COG,Congo,Africa,Central Africa,Developing,Sub-Saharan Africa ,Lower middle income,7026.36,8.73,8.73,1,3.87,6.84,13.84,13.83,5.29,0.61,5.64,26.02
132,BDI,Burundi,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1194.95,8.7,8.7,1,1.61,14.59,12.27,7.45,7.6,0,4.1,27.64
133,TCD,Chad,Africa,Central Africa,Developing,Sub-Saharan Africa ,Low income,2742.66,6.51,6.51,1,0.82,3.56,5.7,17.3,5.18,0.61,0,20.49
134,AFG,Afghanistan,Asia and Oceania,South West Asia,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2201.72,6.02,6.02,1,3.69,14,4.23,4.74,3.45,0,0,20.08
135,SSD,South Sudan,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,1154.89,4.04,4.04,1,0.19,1.11,5.4,5.07,8.41,0,2.05,12.77
